date,Composite,Lumber,Wood,XHB,ITB,All-items 8,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food,All-items excluding food and energy
2008-06,319000.0,254.96,48.860001,20.26,17.610001,114.9,115.2,122.3,104.3,94.0,124.0,108.3,102.3,127.7,114.9,110.3
2008-07,317800.0,261.8,48.529999,18.690001,16.48,115.4,116.0,123.3,104.5,94.8,124.0,108.4,102.2,127.6,115.2,110.4
2008-08,316800.0,270.1,49.169998,19.73,16.530001,115.4,116.8,123.8,104.5,94.3,122.4,109.3,102.5,127.5,115.0,110.6
2008-09,315900.0,240.7,49.919998,22.370001,19.75,115.5,118.0,123.1,105.4,94.0,122.3,109.2,102.4,128.0,115.0,110.6
2008-10,312700.0,199.5,44.18,20.110001,18.15,114.7,118.5,123.2,105.2,92.7,118.3,109.3,102.2,128.0,113.9,110.4
2008-11,310500.0,209.5,32.779999,14.45,12.89,114.3,119.7,123.4,105.6,92.9,114.2,109.9,102.0,128.5,113.1,111.0
2008-12,306700.0,188.0,29.719999,13.32,11.7,113.9,119.9,123.4,105.8,92.7,111.7,110.1,102.0,128.7,112.6,111.1
2009-01,304100.0,187.0,30.059999,13.14,11.0,113.7,120.4,123.1,105.9,94.2,109.8,110.6,101.9,129.2,112.3,110.7
2009-02,301800.0,173.7,26.41,11.96,10.14,114.1,121.0,123.2,106.2,94.4,111.5,110.7,102.4,129.2,112.8,111.0
2009-03,301500.0,177.3,23.16,11.71,9.67,114.0,121.4,122.6,106.6,94.0,110.7,110.9,102.5,129.7,112.5,111.1
2009-04,303700.0,187.4,28.83,13.79,11.38,113.7,121.5,121.4,107.1,94.0,109.8,111.0,102.9,129.7,112.1,111.2
2009-05,307200.0,193.6,31.65,14.11,11.77,114.2,121.5,121.4,107.5,93.4,111.6,111.9,103.2,131.2,112.6,111.4
2009-06,311900.0,214.6,31.82,12.72,10.44,114.7,121.6,121.3,107.4,92.5,114.6,112.5,103.1,131.6,113.3,111.6
2009-07,316500.0,210.0,33.380001,14.29,12.12,114.3,121.6,120.9,107.3,93.3,113.0,112.5,103.2,131.5,112.7,111.6
2009-08,320900.0,207.0,35.549999,15.85,13.6,114.5,121.4,121.1,107.1,92.9,114.4,112.2,103.3,131.4,113.1,111.6
2009-09,325600.0,185.5,37.330002,16.469999,13.71,114.6,121.2,120.9,107.7,92.9,113.5,113.5,103.4,131.3,113.1,111.6
2009-10,330500.0,206.18,37.98,15.68,12.74,114.8,121.3,121.2,107.9,92.8,114.6,113.0,103.7,131.4,113.4,111.7
