date,composite
2008-06-01,312415.4933032744
2008-07-01,315042.32640450244
2008-08-01,314801.9771242988
2008-09-01,314902.2659274358
2008-10-01,314692.42736654077
2008-11-01,308914.11891553714
2008-12-01,302732.9360153605
2009-01-01,299976.15154842206
2009-02-01,301146.7224586365
2009-03-01,296884.6660952886
2009-04-01,300619.4440472637
2009-05-01,309153.7805010907
2009-06-01,315068.4129548955
2009-07-01,313852.1103504506
2009-08-01,320836.956141868
2009-09-01,326038.56385931285
2009-10-01,325955.46742242796
2009-11-01,330328.2197012841
2009-12-01,332739.0708360764
2010-01-01,339087.11138151784
2010-02-01,351618.04260218365
2010-03-01,339670.6661384224
2010-04-01,347202.8366402625
2010-05-01,343850.5429910855
2010-06-01,337918.5118626336
2010-07-01,342899.7019831497
2010-08-01,342747.0108476765
2010-09-01,341251.0342906207
2010-10-01,345929.2605330432
2010-11-01,343786.3352339228
2010-12-01,348197.2774890135
2011-01-01,350669.44806343806
2011-02-01,351499.518429242
2011-03-01,357086.7050754103
2011-04-01,361404.86586062744
2011-05-01,364019.2173039565
2011-06-01,364241.6750616805
2011-07-01,368288.42569166527
2011-08-01,368411.1218788173
2011-09-01,369861.5157421502
2011-10-01,371560.37368255766
2011-11-01,374600.91242369753
2011-12-01,378492.6566795538
2012-01-01,380835.57504449546
2012-02-01,381592.8300084332
2012-03-01,384477.50275713194
2012-04-01,389389.0294095948
2012-05-01,391595.73838751024
2012-06-01,390977.6728207491
2012-07-01,390415.00105805206
2012-08-01,398491.90595379955
2012-09-01,391063.5200362343
2012-10-01,392260.50988258945
2012-11-01,395712.0951776608
2012-12-01,393475.42563615675
2013-01-01,393108.380078253
2013-02-01,394462.00384274183
2013-03-01,397686.7530574836
2013-04-01,395089.5595956741
2013-05-01,399555.8612700964
2013-06-01,397210.1921265543
2013-07-01,399028.5599355685
2013-08-01,399108.3668997105
2013-09-01,401450.6204931572
2013-10-01,407471.9029256122
2013-11-01,412062.8492553618
2013-12-01,410240.3438168696
2014-01-01,415428.3466418204
2014-02-01,425513.6866862872
2014-03-01,427377.54549640435
2014-04-01,422184.980963608
2014-05-01,427408.9387571806
2014-06-01,431354.0595794607
2014-07-01,432511.7018302537
2014-08-01,432437.0869607198
2014-09-01,434375.46894775075
2014-10-01,436736.34760463715
2014-11-01,439090.1258142614
2014-12-01,439538.93826605985
2015-01-01,441495.65877709305
2015-02-01,447510.8035347961
2015-03-01,450164.8636133786
2015-04-01,449086.5068249514
2015-05-01,455493.1618777348
2015-06-01,461071.7122252559
2015-07-01,478346.72791266703
2015-08-01,478178.8673793708
2015-09-01,473964.55994789355
2015-10-01,477638.0069986588
2015-11-01,487666.72398487455
2015-12-01,488875.67685274675
2016-01-01,490978.69293900736
2016-02-01,495121.0732408748
2016-03-01,500342.05102429696
2016-04-01,507071.2721180958
2016-05-01,521396.6451047416
2016-06-01,523510.6471130373
2016-07-01,542916.1279321277
2016-08-01,553289.8799493529
2016-09-01,559170.7838459656
2016-10-01,570103.5671423341
2016-11-01,567011.0558780143
2016-12-01,589991.9428466205
2017-01-01,599792.9669995884
2017-02-01,622116.6184603225
2017-03-01,631431.0929175687
2017-04-01,598481.9401878834
2017-05-01,637547.1052880726
2017-06-01,634558.4531082814
2017-07-01,619976.0198614348
2017-08-01,618904.2420184934
2017-09-01,607697.7705783641
2017-10-01,611144.0033167424
2017-11-01,607971.7825116894
2017-12-01,608736.1493844667
2018-01-01,606035.4234930873
2018-02-01,600680.8839470417
2018-03-01,601299.8721707917
2018-04-01,601167.3247577772
2018-05-01,602703.5257210741
2018-06-01,602941.1528766211
2018-07-01,606990.9408246437
2018-08-01,609175.5518811366
2018-09-01,611479.3977283761
2018-10-01,611622.9310634257
2018-11-01,611371.9454393007
2018-12-01,608764.3162111763
2019-01-01,606522.6494218817
2019-02-01,597320.8422714738
2019-03-01,599682.0876988402
2019-04-01,599629.799982279
2019-05-01,604741.5145473806
2019-06-01,611718.3085806033
2019-07-01,624548.4614743085
2019-08-01,619313.8730676034
2019-09-01,625285.3320226601
2019-10-01,636945.0973913908
2019-11-01,632359.2858483618
2019-12-01,635143.085253471
2020-01-01,647642.7836754457
2020-02-01,663601.2767247399
2020-03-01,654738.7953070488
2020-04-01,646014.4946677141
2020-05-01,644604.7894045111
2020-06-01,680103.9081659114
2020-07-01,676748.0843508642
2020-08-01,734564.3272046115
2020-09-01,714459.8033410157
2020-10-01,720505.9459350712
2020-11-01,755393.7270757037
2020-12-01,754507.9305200882
2021-01-01,768271.3824773633
2021-02-01,776911.486368373
2021-03-01,785559.1778236885
2021-04-01,854649.910849247
2021-05-01,872131.2693164153
2021-06-01,846274.4777058989
2021-07-01,869942.8644777695
2021-08-01,877171.727254191
2021-09-01,895257.7756271763
2021-10-01,923712.3108552222
2021-11-01,956333.9776617496
2021-12-01,984217.4741755225
2022-01-01,1035547.5988596694
2022-02-01,1048639.1960669695
2022-03-01,1061767.4703222741
2022-04-01,1018905.2049424462
2022-05-01,1010774.0867851172
2022-06-01,967235.2674085387
2022-07-01,943488.5292928688
2022-08-01,936391.1995798531
2022-09-01,907717.839914151
2022-10-01,887167.139761582
2022-11-01,885487.8123492369
2022-12-01,862896.3324762397
2023-01-01,864546.3411733364
